frequency;V(OUTBP) (gain);
1282,33;-44,8393;
1285,29;-44,8193;
1288,25;-44,7993;
1291,22;-44,7793;
1294,2;-44,7592;
1297,18;-44,7392;
1300,17;-44,7192;
1303,17;-44,6992;
1306,17;-44,6792;
1309,18;-44,6592;
1312,2;-44,6392;
1315,22;-44,6192;
1318,26;-44,5991;
1321,3;-44,5791;
1324,34;-44,5591;
1327,39;-44,5391;
1330,45;-44,5191;
1333,52;-44,4991;
1336,6;-44,4791;
1339,68;-44,459;
1342,76;-44,439;
1345,86;-44,419;
1348,96;-44,399;
1352,07;-44,379;
1355,19;-44,359;
1358,31;-44,339;
1361,44;-44,3189;
1364,58;-44,2989;
1367,73;-44,2789;
1370,88;-44,2589;
1374,04;-44,2389;
1377,21;-44,2189;
1380,38;-44,1989;
1383,57;-44,1788;
1386,76;-44,1588;
1389,95;-44,1388;
1393,16;-44,1188;
1396,37;-44,0988;
1399,59;-44,0788;
1402,81;-44,0588;
1406,05;-44,0387;
1409,29;-44,0187;
1412,54;-43,9987;
1415,79;-43,9787;
1419,06;-43,9587;
1422,33;-43,9387;
1425,61;-43,9186;
1428,89;-43,8986;
1432,19;-43,8786;
1435,49;-43,8586;
1438,8;-43,8386;
1442,12;-43,8186;
1445,44;-43,7985;
1448,77;-43,7785;
1452,11;-43,7585;
1455,46;-43,7385;
1458,81;-43,7185;
1462,18;-43,6985;
1465,55;-43,6785;
1468,93;-43,6584;
1472,31;-43,6384;
1475,71;-43,6184;
1479,11;-43,5984;
1482,52;-43,5784;
1485,94;-43,5583;
1489,36;-43,5383;
1492,79;-43,5183;
1496,24;-43,4983;
1499,68;-43,4783;
1503,14;-43,4583;
1506,61;-43,4382;
1510,08;-43,4182;
1513,56;-43,3982;
1517,05;-43,3782;
1520,55;-43,3582;
1524,05;-43,3382;
1527,57;-43,3181;
1531,09;-43,2981;
1534,62;-43,2781;
1538,15;-43,2581;
1541,7;-43,2381;
1545,25;-43,218;
1548,82;-43,198;
1552,39;-43,178;
1555,97;-43,158;
1559,55;-43,138;
1563,15;-43,118;
1566,75;-43,0979;
1570,36;-43,0779;
1573,98;-43,0579;
1577,61;-43,0379;
1581,25;-43,0179;
1584,89;-42,9978;
1588,55;-42,9778;
1592,21;-42,9578;
1595,88;-42,9378;
1599,56;-42,9178;
1603,25;-42,8977;
1606,94;-42,8777;
1610,65;-42,8577;
1614,36;-42,8377;
1618,08;-42,8177;
1621,81;-42,7976;
1625,55;-42,7776;
1629,3;-42,7576;
1633,05;-42,7376;
1636,82;-42,7176;
1640,59;-42,6975;
1644,37;-42,6775;
1648,16;-42,6575;
1651,96;-42,6375;
1655,77;-42,6175;
1659,59;-42,5974;
1663,41;-42,5774;
1667,25;-42,5574;
1671,09;-42,5374;
1674,94;-42,5173;
1678,8;-42,4973;
1682,67;-42,4773;
1686,55;-42,4573;
1690,44;-42,4373;
1694,34;-42,4172;
1698,24;-42,3972;
1702,16;-42,3772;
1706,08;-42,3572;
1710,02;-42,3371;
1713,96;-42,3171;
1717,91;-42,2971;
1721,87;-42,2771;
1725,84;-42,2571;
1729,82;-42,237;
1733,8;-42,217;
1737,8;-42,197;
1741,81;-42,177;
1745,82;-42,1569;
1749,85;-42,1369;
1753,88;-42,1169;
